engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
memcached,media_256k-0,1.6.45,262144,uniform,hit,1,1000,,6961.313931728273,1740.3284829320683,0.1407495,0.1781333,0.21837709000000002,,0,1000,1000,1.0,0,262144000,0,107.366,0.7474084315939378,59.26953125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/media_256k-0/result.json
memcached_extstore,media_256k-0,1.6.45,262144,uniform,hit,1,1000,,6787.942675149362,1696.9856687873405,0.144187,0.19046215,0.21863084000000002,,0,1000,1000,1.0,0,262144000,0,355.932,2.416046012251263,60.77734375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/media_256k-0/result.json
redis,media_256k-0,8.2.10,262144,uniform,hit,1,1000,,4553.746151420501,1138.4365378551252,0.212375,0.2608889499999999,0.33254366,,0,1000,1000,1.0,0,262144000,0,102.213,0.4654520553751436,53.6484375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/media_256k-0/result.json
valkey,media_256k-0,8.1.10,262144,uniform,hit,1,1000,,4683.126939919244,1170.781734979811,0.205042,0.2677440499999999,0.32403649999999995,,0,1000,1000,1.0,0,262144000,0,94.692,0.4434546561948331,52.2890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/media_256k-0/result.json
grpc,mixed_1k_90r10w-0,1.6.0,1024,skew,mixed,1,3000,,6556.33269336739,5.762401781279932,0.15,0.17883719999999997,0.19437707999999995,,0,2700,2700,1.0,0,2764800,0,125.35733333333333,0.821884382886687,145.04296875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/mixed_1k_90r10w-0/result.json
memcached,mixed_1k_90r10w-0,1.6.45,1024,skew,mixed,1,3000,,24469.25492862378,21.506181089610745,0.0308955,0.07279105,0.08966808999999995,,0,2700,2700,1.0,0,2764800,0,18.261666666666667,0.4468493770882179,6.2890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/mixed_1k_90r10w-0/result.json
redis,mixed_1k_90r10w-0,8.2.10,1024,skew,mixed,1,3000,,15383.566777367652,13.520712987920788,0.0678955,0.09808924999999998,0.14372258999999965,,0,2700,2700,1.0,0,2764800,0,29.674333333333333,0.45649708840720016,12.98046875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/mixed_1k_90r10w-0/result.json
valkey,mixed_1k_90r10w-0,8.1.10,1024,skew,mixed,1,3000,,14404.525901956551,12.6602278435165,0.065709,0.08954404999999999,0.11366601,,0,2700,2700,1.0,0,2764800,0,30.470333333333333,0.4389107057412501,11.0703125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/mixed_1k_90r10w-0/result.json
grpc,near_limit-0,1.6.0,4193000,uniform,hit,1,20,,233.6412214580571,934.274331639894,4.18575,5.06315,5.5005299999999995,,0,20,20,1.0,0,83860000,0,5426.6,1.2678774523642926,161.4296875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/near_limit-0/result.json
memcached,near_limit-0,1.6.45,4193000,uniform,hit,1,20,,445.5537842892775,1781.6610503434567,2.1289585,2.439270800000001,3.484586959999998,,0,20,20,1.0,0,83860000,0,1743.6,0.7768675782867842,14.28515625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/near_limit-0/result.json
